Name,Quotes,Tags
Albert Einstein,,"['change', 'deep-thoughts', 'thinking', 'world']"
J.K. Rowling,,"['abilities', 'choices']"
Albert Einstein,,"['inspirational', 'life', 'live', 'miracle', 'miracles']"
Jane Austen,,"['aliteracy', 'books', 'classic', 'humor']"
Marilyn Monroe,,"['be-yourself', 'inspirational']"
Albert Einstein,,"['adulthood', 'success', 'value']"
André Gide,,"['life', 'love']"
Thomas A. Edison,,"['edison', 'failure', 'inspirational', 'paraphrased']"
Eleanor Roosevelt,,['misattributed-eleanor-roosevelt']
Steve Martin,,"['humor', 'obvious', 'simile']"
Marilyn Monroe,,"['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']"
J.K. Rowling,,"['courage', 'friends']"
Albert Einstein,,"['simplicity', 'understand']"
Bob Marley,,['love']
Dr. Seuss,,['fantasy']
Douglas Adams,,"['life', 'navigation']"
Elie Wiesel,,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
Friedrich Nietzsche,,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']"
Mark Twain,,"['books', 'contentment', 'friends', 'friendship', 'life']"
Allen Saunders,,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']"
Pablo Neruda,,"['love', 'poetry']"
Ralph Waldo Emerson,,['happiness']
Mother Teresa,,['attributed-no-source']
Garrison Keillor,,"['humor', 'religion']"
Jim Henson,,['humor']
Dr. Seuss,,"['comedy', 'life', 'yourself']"
Albert Einstein,,"['children', 'fairy-tales']"
J.K. Rowling,,['']
Albert Einstein,,['imagination']
Bob Marley,,['music']
Dr. Seuss,,"['learning', 'reading', 'seuss']"
J.K. Rowling,,['dumbledore']
Bob Marley,,['friendship']
Mother Teresa,,"['misattributed-to-mother-teresa', 'paraphrased']"
J.K. Rowling,,"['death', 'inspirational']"
Charles M. Schulz,,"['chocolate', 'food', 'humor']"
William Nicholson,,"['misattributed-to-c-s-lewis', 'reading']"
Albert Einstein,,"['knowledge', 'learning', 'understanding', 'wisdom']"
Jorge Luis Borges,,"['books', 'library']"
George Eliot,,['inspirational']
George R.R. Martin,,"['read', 'readers', 'reading', 'reading-books']"
C.S. Lewis,,"['books', 'inspirational', 'reading', 'tea']"
Marilyn Monroe,,['']
Marilyn Monroe,,"['girls', 'love']"
Albert Einstein,,"['life', 'simile']"
Marilyn Monroe,,['love']
Marilyn Monroe,,['attributed-no-source']
Martin Luther King Jr.,,"['hope', 'inspirational']"
J.K. Rowling,,['dumbledore']
James Baldwin,,['love']
